Date,Credit,Debit,Balance,Transaction Detail,Category,Subcategory
01-Jan-25,75000,-,115000.00,SALARY CREDIT FROM INFOSYS,Income & Credits,Salary & Wages
02-Jan-25,-,2500,112500.00,UrbanClap Home Cleaning,Home & Housing Expenses,House Renovation Improvement
02-Jan-25,-,800,111700.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
03-Jan-25,-,2200,109500.00,BigBasket Groceries,Food & Grocery,Online Grocery Services
04-Jan-25,-,2000,107500.00,Apollo Pharmacy Medicines,Healthcare & Medical,Medicines & Pharmacy
05-Jan-25,-,499,107001.00,Netflix Subscription,Lifestyle & Entertainment,Subscription Services
06-Jan-25,-,4000,103001.00,Apollo Hospital Ultrasound Scan,Healthcare & Medical,Diagnostic & Lab Tests
06-Jan-25,-,1100,101901.00,Zomato Online Food,Lifestyle & Entertainment,Dining & Restaurants
06-Jan-25,-,20000,81901.00,HDFC Home Loan EMI,Home & Housing Expenses,Home Loan EMI
06-Jan-25,-,800,81101.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
07-Jan-25,-,5000,76101.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
08-Jan-25,-,2500,73601.00,Apollo Hospital Prenatal Checkup,Healthcare & Medical,Maternity-related Expenses
08-Jan-25,-,5000,68601.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
09-Jan-25,-,2000,66601.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
11-Jan-25,-,499,66102.00,Netflix Subscription,Lifestyle & Entertainment,Subscription Services
12-Jan-25,-,499,65603.00,Netflix Subscription,Lifestyle & Entertainment,Subscription Services
13-Jan-25,-,1100,64503.00,Zomato Online Food,Lifestyle & Entertainment,Dining & Restaurants
13-Jan-25,-,2000,62503.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
15-Jan-25,-,2000,60503.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
15-Jan-25,-,5000,55503.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
17-Jan-25,-,1800,53703.00,DMart Supermarket,Food & Grocery,Grocery Stores & Supermarkets
17-Jan-25,-,800,52903.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
19-Jan-25,-,1800,51103.00,PharmEasy Postnatal Supplies,Healthcare & Medical,Medicines & Pharmacy
20-Jan-25,-,2000,49103.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
23-Jan-25,-,20000,29103.00,HDFC Home Loan EMI,Home & Housing Expenses,Home Loan EMI
23-Jan-25,-,3000,26103.00,FirstCry Baby Essentials,Education & Childcare,Uniforms & School Supplies
24-Jan-25,-,55000,-28897.00,Apollo Hospital Delivery Charges,Healthcare & Medical,Hospitalization & Surgery expenses
24-Jan-25,-,2000,-30897.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
25-Jan-25,-,4000,-34897.00,Apollo Hospital Ultrasound Scan,Healthcare & Medical,Diagnostic & Lab Tests
25-Jan-25,-,1100,-35997.00,Zomato Online Food,Lifestyle & Entertainment,Dining & Restaurants
27-Jan-25,-,2000,-37997.00,Apollo Pharmacy Medicines,Healthcare & Medical,Medicines & Pharmacy
28-Jan-25,-,800,-38797.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
29-Jan-25,-,1500,-40297.00,PharmEasy Prenatal Vitamins,Healthcare & Medical,Medicines & Pharmacy
30-Jan-25,-,499,-40796.00,Netflix Subscription,Lifestyle & Entertainment,Subscription Services
30-Jan-25,-,5000,-45796.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
01-Feb-25,75000,-,29204.00,SALARY CREDIT FROM INFOSYS,Income & Credits,Salary & Wages
01-Feb-25,-,2000,27204.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
02-Feb-25,-,5000,22204.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
04-Feb-25,-,2000,20204.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
05-Feb-25,-,2500,17704.00,Apollo Hospital Prenatal Checkup,Healthcare & Medical,Maternity-related Expenses
05-Feb-25,-,1800,15904.00,DMart Supermarket,Food & Grocery,Grocery Stores & Supermarkets
06-Feb-25,-,1100,14804.00,Zomato Online Food,Lifestyle & Entertainment,Dining & Restaurants
07-Feb-25,-,3000,11804.00,FirstCry Baby Essentials,Education & Childcare,Uniforms & School Supplies
07-Feb-25,-,800,11004.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
09-Feb-25,-,5000,6004.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
10-Feb-25,-,20000,-13996.00,HDFC Home Loan EMI,Home & Housing Expenses,Home Loan EMI
12-Feb-25,-,2200,-16196.00,BigBasket Groceries,Food & Grocery,Online Grocery Services
13-Feb-25,-,55000,-71196.00,Apollo Hospital Delivery Charges,Healthcare & Medical,Hospitalization & Surgery expenses
13-Feb-25,-,3000,-74196.00,FirstCry Baby Essentials,Education & Childcare,Uniforms & School Supplies
14-Feb-25,-,2000,-76196.00,Apollo Pharmacy Medicines,Healthcare & Medical,Medicines & Pharmacy
16-Feb-25,-,800,-76996.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
17-Feb-25,-,20000,-96996.00,HDFC Home Loan EMI,Home & Housing Expenses,Home Loan EMI
18-Feb-25,-,2000,-98996.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
18-Feb-25,-,5000,-103996.00,FirstCry Baby Furniture,Education & Childcare,Books & Stationery
20-Feb-25,-,2200,-106196.00,BigBasket Groceries,Food & Grocery,Online Grocery Services
20-Feb-25,-,499,-106695.00,Netflix Subscription,Lifestyle & Entertainment,Subscription Services
22-Feb-25,-,1100,-107795.00,Zomato Online Food,Lifestyle & Entertainment,Dining & Restaurants
22-Feb-25,-,20000,-127795.00,HDFC Home Loan EMI,Home & Housing Expenses,Home Loan EMI
22-Feb-25,-,2000,-129795.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
25-Feb-25,-,4000,-133795.00,Apollo Hospital Ultrasound Scan,Healthcare & Medical,Diagnostic & Lab Tests
25-Feb-25,-,1100,-134895.00,Zomato Online Food,Lifestyle & Entertainment,Dining & Restaurants
26-Feb-25,-,800,-135695.00,Ola Cab Rides,Transportation & Commute,Cab & Taxi services
28-Feb-25,-,2000,-137695.00,Apollo Pharmacy Medicines,Healthcare & Medical,Medicines & Pharmacy
01-Mar-25,75000,-,-62695.00,SALARY CREDIT FROM INFOSYS,Income & Credits,Salary & Wages
01-Mar-25,-,2000,-64695.00,Myntra Maternity Wear,Personal Care & Grooming,Clothing & Footwear
02-Mar-25,-,900,-65595.00,Swiggy Food Order,Food & Grocery,Packaged Snacks & Beverages
02-Mar-25,-,2500,-68095.00,UrbanClap Home Cleaning,Home & Housing Expenses,House Renovation Improvement
